transit_timestamp,transit_mode,station_complex_id,station_complex,borough,payment_method,fare_class_category,ridership,transfers,latitude,longitude,Georeference
07-11-23 21:00,subway,284,Nassau Av (G),Brooklyn,metrocard,Metrocard - Unlimited 30-Day,22,0,40.724636,-73.95128,POINT (-73.95128 40.724636)
07-11-23 8:00,subway,381,Kingsbridge Rd (4),Bronx,metrocard,Metrocard - Seniors & Disability,20,7,40.86776,-73.89717,POINT (-73.89717 40.86776)
07-11-23 19:00,subway,223,"Lexington Av/63 St (F,Q)",Manhattan,omny,OMNY - Seniors & Disability,4,0,40.76463,-73.96611,POINT (-73.96611 40.76463)
07-11-23 21:00,subway,28,Union St (R),Brooklyn,metrocard,Metrocard - Unlimited 7-Day,14,0,40.677315,-73.98311,POINT (-73.98311 40.677315)
07-11-23 3:00,subway,185,Liberty Av (C),Brooklyn,omny,OMNY - Full Fare,2,0,40.67454,-73.896545,POINT (-73.896545 40.67454)
07-11-23 19:00,subway,327,"Chambers St (1,2,3)",Manhattan,metrocard,Metrocard - Students,1,0,40.715477,-74.00927,POINT (-74.00927 40.715477)
07-11-23 6:00,subway,100,"Hewes St (M,J)",Brooklyn,metrocard,Metrocard - Other,3,0,40.70687,-73.95343,POINT (-73.95343 40.70687)
07-11-23 12:00,subway,188,"Euclid Av (A,C)",Brooklyn,metrocard,Metrocard - Unlimited 7-Day,39,0,40.675377,-73.87211,POINT (-73.87211 40.675377)
07-11-23 23:00,subway,380,Bedford Park Blvd-Lehman College (4),Bronx,metrocard,Metrocard - Other,2,0,40.873413,-73.89006,POINT (-73.89006 40.873413)
07-11-23 12:00,subway,278,"Jamaica Center-Parsons/Archer (E,J,Z)",Queens,metrocard,Metrocard - Students,14,5,40.70215,-73.80111,POINT (-73.80111 40.70215)
07-11-23 14:00,subway,377,3 Av-138 St (6),Bronx,metrocard,Metrocard - Seniors & Disability,12,1,40.810474,-73.92614,POINT (-73.92614 40.810474)
07-11-23 20:00,subway,14,"23 St (R,W)",Manhattan,omny,OMNY - Seniors & Disability,1,0,40.741302,-73.98934,POINT (-73.98934 40.741302)
07-11-23 15:00,subway,28,Union St (R),Brooklyn,metrocard,Metrocard - Unlimited 7-Day,50,0,40.677315,-73.98311,POINT (-73.98311 40.677315)
07-11-23 8:00,subway,272,"36 St (M,R)",Queens,metrocard,Metrocard - Seniors & Disability,7,0,40.75204,-73.92878,POINT (-73.92878 40.75204)
07-11-23 23:00,subway,113,Knickerbocker Av (M),Brooklyn,omny,OMNY - Full Fare,10,0,40.698666,-73.91971,POINT (-73.91971 40.698666)
07-11-23 13:00,subway,276,"5 Av/53 St (E,M)",Manhattan,omny,OMNY - Full Fare,320,3,40.760166,-73.97523,POINT (-73.97523 40.760166)
07-11-23 5:00,subway,333,"Wall St (2,3)",Manhattan,metrocard,Metrocard - Unlimited 7-Day,3,0,40.70682,-74.0091,POINT (-74.0091 40.70682)
07-11-23 12:00,subway,288,Myrtle-Willoughby Avs (G),Brooklyn,metrocard,Metrocard - Seniors & Disability,4,0,40.69457,-73.94904,POINT (-73.94904 40.69457)
07-11-23 11:00,subway,32,"36 St (D,N,R)",Brooklyn,metrocard,Metrocard - Students,15,1,40.655144,-74.00355,POINT (-74.00355 40.655144)
07-11-23 15:00,subway,280,Jamaica-Van Wyck (E),Queens,metrocard,Metrocard - Unlimited 7-Day,21,0,40.702564,-73.81686,POINT (-73.81686 40.702564)
07-11-23 8:00,subway,231,"Grand St (B,D)",Manhattan,omny,OMNY - Full Fare,454,4,40.718266,-73.99375,POINT (-73.99375 40.718266)
07-11-23 7:00,subway,228,"23 St (F,M)",Manhattan,metrocard,Metrocard - Seniors & Disability,7,2,40.742878,-73.99282,POINT (-73.99282 40.742878)
07-11-23 9:00,subway,425,"Bronx Park East (2,5)",Bronx,metrocard,Metrocard - Full Fare,21,4,40.848827,-73.868454,POINT (-73.868454 40.848827)
07-11-23 2:00,subway,381,Kingsbridge Rd (4),Bronx,metrocard,Metrocard - Other,3,0,40.86776,-73.89717,POINT (-73.89717 40.86776)
07-11-23 19:00,subway,287,Flushing Av (G),Brooklyn,metrocard,Metrocard - Unlimited 7-Day,15,0,40.70038,-73.95023,POINT (-73.95023 40.70038)
07-11-23 13:00,subway,228,"23 St (F,M)",Manhattan,metrocard,Metrocard - Unlimited 30-Day,83,0,40.742878,-73.99282,POINT (-73.99282 40.742878)
